source_id,citation_key,title,authors,year,venue,volume_issue_pages,doi,publisher_url,working_paper_url,cnki_url,google_scholar_url,openalex_id,semantic_scholar_id,zotero_key,pdf_hash,acquisition_source,verification_status,verification_notes,topic_relevance,method_relevance,data_relevance,contribution_role,used_in_section
cnki_陈技伟_2024,cnki_陈技伟_2024,父母受教育程度对子女人力资本发展的影响,陈技伟; 刘华; 王琳,2024,人口与发展,,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0zxyp2WyNk3LWl8DLZIK3G5kfddF8t8THTlBBmcdwII34v_tvnvfgtkmR5uPBs0gI5y5Rt5kBqPIgyILqWyrEH6DzNI6VFIknvBiQ6GPpNX6GKuG-Ucox2eqhtaPqSeLgBQ5rZ9NATiPq6Ox1D2eYlQj9BJXZSIl5B6QTHBkMGBfg==&uniplatform=NZKPT&language=CHS,,,,,,,,crossref_doi_resolve,cnki_page_verified,CNKI page verified,"利用2013—2014学年中国教育追踪调查数据(CEPS),考察父母受教育程度对青少年子女人力资本发展的影响。研究发现，父母受教育程度能够显著提升子女的认知和非认知能力；分非认知能力维度来看，父母受教",china_cnki,,china_cnki,Literature and Contribution
cnki_李军_2019,cnki_李军_2019,“学二代”现象普遍存在吗?——基于教育数量和质量的代际流动研究,李军; 周安华,2019,教育与经济,,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0yiehpvedyjzPp_liv5VFMKPy-5MFOcMHH3lfZdhgSLM2gU2DpPzcMALKW66jh3KNOalYCaDlJzsU9p-OxDbkxDT4RzNyufZKN9U6VJnyDAfJzFw2Gr5rYVjj0eUue7Zav9UK3y6Hra9oSGdf8s-hNEuZpnABU4mSILuGJuAknbrA==&uniplatform=NZKPT&language=CHS,,,,,,,,crossref_doi_resolve,cnki_page_verified,CNKI page verified,"文章使用中国家庭追踪调查(CFPS2014)数据,分析验证""学二代""现象在我国居民代际流动中是否普遍存在。实证结果显示:父代和子代之间的教育代际流动性较强;教育数量和质量促进了教育代际流动,在含有控制",china_cnki,,china_cnki,Literature and Contribution
cnki_叶托_2018,cnki_叶托_2018,父母受教育程度对青年生育意愿的影响——基于中国家庭追踪调查（CFPS）数据的分析,叶托; 陈周懿,2018,长白学刊,,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0yIe7SlwBh3F_aiowps6-NFS8n92MsqfyIXa6C-T7SjjtGVPRwWPRU9HIYmdr7xGIQkOVOZlApUMgeR9bFHV1q1PlW2sqpZ4gQ04tIE7YGnNl-nIVaAfY7UsLMDXLelTQwaggAawHSUtQZSa5wo3UN2j-kBkjxgRPszmPGrRQsTOg==&uniplatform=NZKPT&language=CHS,,,,,,,,crossref_doi_resolve,cnki_page_verified,CNKI page verified,青年生育意愿减弱是造成当前“超低生育率”问题的重要原因，而青年生育意愿的形成深受父母个人特征的影响。基于此，运用2018年中国家庭追踪调查（CFPS）数据，考察了父母受教育程度对青年生育意愿的影响机制,china_cnki,,china_cnki,Literature and Contribution
cnki_张珊_2015,cnki_张珊_2015,父母受教育程度对子女素质的影响,张珊; 赵悦; 王思雨,2015,科技风,,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0wR_Rmw-_vRnYoYndYPji0rx9i-3H6V1JTauGxueut7DeCF90jCRC5ELousKJ_srqmq3X9jljg7MR_k3XQahRxKe5c-UiRsEU-ZEy95YmQay1gMXXsHdO45wcnBQp0ewlQ9MTHwlOX5x0pDE0ogP07fTjJC53U_KT5lan0ZHdf_cQ==&uniplatform=NZKPT&language=CHS,,,,,,,,crossref_doi_resolve,cnki_page_verified,CNKI page verified,"父母受教育程度对子女素质影响的研究一直是教育学和心理学研究的重要课题。父母受教育水平的差异将会影响其子女身心等多方面的发展。子女的素质包括身体素质、科学文化素质、心理素质等,其受到多种因素的影响,父母",china_cnki,,china_cnki,Literature and Contribution
cnki_翁怀欣_2019,cnki_翁怀欣_2019,我国父母受教育程度对子女收入的影响研究——基于CGSS家庭微观数据的分析,翁怀欣,2019,华中师范大学,,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0wR_Rmw-_vRnYoYndYPji0ruPOQ1VTL7ShmUWGYmIQ9QX_mmqoOAyKwR9szsJLS_gF6weu-PieHdYUwZjPBxVh75-WX-KY62HpaSgzRRNoQ_E6nY0feVCwg3jWWwNWB7Sm4WWhI1xEnkq0RtRXljIxA0ZzDvv7I53TFfMhFEQN9XaUBjxAep3ub&uniplatform=NZKPT&language=CHS,,,,,,,,crossref_doi_resolve,cnki_page_verified,CNKI page verified,"近些年,随着国家收入分配政策的调节与实施,我国居民间的收入差距得到一定程度上的缓解。但是有些数据显示,我国居民的收入差距依然较大。为了解决这一问题,笔者认为应该重视教育。教育作为人力资本的形成要素,对",china_parent_income_closest,,china_parent_income_closest,Literature and Contribution
cnki_郭馨语_2023,cnki_郭馨语_2023,父母受教育程度对子女收入的影响研究,郭馨语,2023,辽宁大学,,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0yz-NGwULDvrO_5iHnKxZTEYsrNEVGpLwAzGm-WK-WCTQNNtjErH_pOayQgpx1BlAfywaIEbLnR19csw9i9tftQkU1LP88qVGFPejiXb5Q3xVbUqZIPQi2aFPsohjnJXuv4uUfPWmD_sK-b2QgrW1CyeuHC6cKAvx-CsPZtQTnqUdHB39vCRPHG&uniplatform=NZKPT&language=CHS,,,,,,,,crossref_doi_resolve,cnki_page_verified,CNKI page verified,"进入新时代,我国的经济发展水平跃升,人民的生活质量逐渐提高,但城乡融合的步伐刚刚迈出,居民间的收入目前仍然存在很大差距。2023年全国两会强调,我们需要在不断的经济增长过程中持续增进民生福祉,稳步促进",china_parent_income_closest,,china_parent_income_closest,Literature and Contribution
cnki_马熠辉_2021,cnki_马熠辉_2021,彝族地区贫困家庭教育投资对子女代际流动的影响研究,马熠辉,2021,西部发展研究,,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0z5pZXYzW3IdF46EvF1xbi1-MfPp4DgtpY2PgfY27KaGdD4-1CyCfzEGZ6l7molJGAyt2TjrxBKJoekKXbrVqmkfQdWbKVg938u-6LegMk1_bxotjRI_fjVHVFRTksK6lvKTlgnR4RK_7D_QnQmSdxX8Mru8e_z5W8ucZeBFlzEEg==&uniplatform=NZKPT&language=CHS,,,,,,,,crossref_doi_resolve,cnki_page_verified,CNKI page verified,"高水平、高层次的教育能够丰富人们的知识储备、提高其劳动能力,为其带来经济或非经济的收益,进而提升其社会地位。基于教育对社会流动的影响,本文利用两个彝族贫困村的95个建档立卡贫困户资料,通过二元Logi",china_cnki,,china_cnki,Literature and Contribution
cnki_鲜鑫瞧_2022,cnki_鲜鑫瞧_2022,父母受教育程度对家庭子女收入的影响研究,鲜鑫瞧,2022,广西民族大学,,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0waMDL8iIx833aFK9nXDN16yB5dFc7nwH6w2oAn89O4shZQSw7T_8SckjiLlkWZlH1sxl-Q1L9qoOBtCeWaZaiA3C6SL_YiH4IDkaoqKsdq3BpaZnm03mV6lXf87Fpte7aiFSYpG7TQ1mF1DMEAlNeP1lu2U7g9bC1ycBnhWYAAyT4zYHfF4sRi&uniplatform=NZKPT&language=CHS,,,,,,,,crossref_doi_resolve,cnki_page_verified,CNKI page verified,"如今,我国迈进了新的发展阶段,新一轮科技革命和产业变革,催生出了不少新型产业;与此同时,社会上不同群体的收入分配情况,也发生了变化。面对这些新难题,国家提出要在实现高质量发展的过程中,推动共同富裕。家",china_parent_income_closest,,china_parent_income_closest,Literature and Contribution
cnki_靳振忠_2017,cnki_靳振忠_2017,地区代际流动与家庭人力资本投资——来自中小学阶段家庭校外教育支出的证据,靳振忠; 李子联; 严斌剑,2017,经济评论,,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0yFxBSljOpOWS3zEBL6vvcNDv1gRpwETKOSuVT_kLYgLe3LbU-6DCJuvi7wHv41uySGxOYpSDCmM5ABVEnS3nIcOZthSBH70waIDJdBc_i5X-06yLZ3jNgG7EzXqGMcVLUwL1xzqVs-frQ2QeKUH0yyBtLCToyj6iqnqGfaYZ4rBQ==&uniplatform=NZKPT&language=CHS,,,,,,,,crossref_doi_resolve,cnki_page_verified,CNKI page verified,家庭在中小学阶段展开的“教育军备竞赛”是我国教育乃至经济社会的重要话题。本文基于2017年中国教育财政家庭调查的中小学阶段微观家庭校外教育支出数据，并利用2016年中国劳动力动态调查估算的省级代际流动,china_cnki,,china_cnki,Literature and Contribution
cnki_王琛_2025,cnki_王琛_2025,教育因素对收入差距代际传递的作用研究,王琛,2025,上海经济,,,https://kns.cnki.net/kcms2/article/abstract?v=CK5qQJ1_U0zBBSGUO70dsDAYaK0DPGt0lngMVzGqiw5Vknw_8RaUo_EuhcliSf4hnslZbXjp1NEiyWO0WSQJ-FyuT5meH1Lqu3PSXmj5VVGVneiOjFnLCaAlaa9KgedfN6NLVoTeGv5bSLPu8I3BNvZSoejxZMskRhfEtddFWNMzUuD7oRTJXQ==&uniplatform=NZKPT&language=CHS,,,,,,,,crossref_doi_resolve,cnki_page_verified,CNKI page verified,本文从代际传递的视角来研究教育差异对城乡收入差距的影响，通过将教育变量引入收入代际传递性模型的基本框架中，利用收入代际传递模型对父子配对样本进行整体回归、分教育等级回归以及分收入等级回归，研究教育因素,china_parent_income_closest,,china_parent_income_closest,Literature and Contribution
